YEAR,QUARTER,ORIGIN,DEST,OPERATING_CARRIER,PASSENGERS,MARKET_FARE
2025,1,FLL,LGA,NK,1.0,74.15
2025,1,FLL,LGA,NK,1.0,74.47
2025,1,FLL,LGA,NK,1.0,75.0
2025,1,FLL,LGA,NK,1.0,75.0
2025,1,FLL,LGA,NK,1.0,75.72
2025,1,FLL,LGA,NK,1.0,76.22
2025,1,FLL,LGA,NK,1.0,76.79
2025,1,FLL,LGA,NK,1.0,77.5
2025,1,FLL,LGA,NK,1.0,78.27
2025,1,FLL,LGA,NK,1.0,79.0
2025,1,FLL,LGA,NK,1.0,79.34
2025,1,FLL,LGA,NK,1.0,79.41
2025,1,FLL,LGA,NK,1.0,80.0
2025,1,FLL,LGA,NK,1.0,80.83
2025,1,FLL,LGA,NK,1.0,80.91
2025,1,FLL,LGA,NK,1.0,81.0
2025,1,FLL,LGA,NK,1.0,81.92
2025,1,FLL,LGA,NK,1.0,83.0
2025,1,FLL,LGA,NK,1.0,83.03
2025,1,FLL,LGA,NK,1.0,84.93
2025,1,FLL,LGA,NK,1.0,85.5
2025,1,FLL,LGA,NK,1.0,86.0
2025,1,FLL,LGA,NK,1.0,86.16
2025,1,FLL,LGA,NK,1.0,86.3
2025,1,FLL,LGA,NK,1.0,87.5
2025,1,FLL,LGA,NK,1.0,88.0
2025,1,FLL,LGA,NK,1.0,89.3
2025,1,FLL,LGA,NK,1.0,89.46
2025,1,FLL,LGA,NK,1.0,89.5
2025,1,FLL,LGA,NK,1.0,89.5
2025,1,FLL,LGA,NK,1.0,89.53
2025,1,FLL,LGA,NK,1.0,89.82
2025,1,FLL,LGA,NK,1.0,90.55
2025,1,FLL,LGA,NK,1.0,90.96
2025,1,FLL,LGA,NK,1.0,91.52
2025,1,FLL,LGA,NK,1.0,92.0
2025,1,FLL,LGA,NK,1.0,92.0
2025,1,FLL,LGA,NK,1.0,92.21
2025,1,FLL,LGA,NK,1.0,92.47
2025,1,FLL,LGA,NK,1.0,92.5
2025,1,FLL,LGA,NK,1.0,93.0
2025,1,FLL,LGA,NK,1.0,93.0
2025,1,FLL,LGA,NK,1.0,93.88
2025,1,FLL,LGA,NK,1.0,93.98
2025,1,FLL,LGA,NK,1.0,94.0
2025,1,FLL,LGA,NK,1.0,94.48
2025,1,FLL,LGA,NK,1.0,94.5
2025,1,FLL,LGA,NK,1.0,94.61
2025,1,FLL,LGA,NK,1.0,94.74
2025,1,FLL,LGA,NK,1.0,94.99
2025,1,FLL,LGA,NK,1.0,95.15
2025,1,FLL,LGA,NK,1.0,95.5
2025,1,FLL,LGA,NK,1.0,96.0
2025,1,FLL,LGA,NK,1.0,96.69
2025,1,FLL,LGA,NK,1.0,97.56
2025,1,FLL,LGA,NK,1.0,98.0
2025,1,FLL,LGA,NK,1.0,98.22
2025,1,FLL,LGA,NK,1.0,99.01
2025,1,FLL,LGA,NK,1.0,99.5
2025,1,FLL,LGA,NK,1.0,99.76
2025,1,FLL,LGA,NK,1.0,100.0
2025,1,FLL,LGA,NK,1.0,100.01
2025,1,FLL,LGA,NK,1.0,100.5
2025,1,FLL,LGA,NK,1.0,101.25
2025,1,FLL,LGA,NK,1.0,102.0
2025,1,FLL,LGA,NK,1.0,103.0
2025,1,FLL,LGA,NK,1.0,103.88
2025,1,FLL,LGA,NK,1.0,104.0
2025,1,FLL,LGA,NK,1.0,104.5
2025,1,FLL,LGA,NK,1.0,104.53
2025,1,FLL,LGA,NK,1.0,105.54
2025,1,FLL,LGA,NK,1.0,106.51
2025,1,FLL,LGA,NK,1.0,107.0
2025,1,FLL,LGA,NK,1.0,107.94
2025,1,FLL,LGA,NK,1.0,108.0
2025,1,FLL,LGA,NK,1.0,108.0
2025,1,FLL,LGA,NK,1.0,108.5
2025,1,FLL,LGA,NK,1.0,108.5
2025,1,FLL,LGA,NK,1.0,110.0
2025,1,FLL,LGA,NK,1.0,110.06
2025,1,FLL,LGA,NK,1.0,110.47
2025,1,FLL,LGA,NK,1.0,110.5
2025,1,FLL,LGA,NK,1.0,111.5
2025,1,FLL,LGA,NK,1.0,111.5
2025,1,FLL,LGA,NK,1.0,112.0
2025,1,FLL,LGA,NK,1.0,112.58
2025,1,FLL,LGA,NK,1.0,112.95
2025,1,FLL,LGA,NK,1.0,113.08
2025,1,FLL,LGA,NK,1.0,114.0
2025,1,FLL,LGA,NK,1.0,115.92
2025,1,FLL,LGA,NK,1.0,116.0
2025,1,FLL,LGA,NK,1.0,116.0
2025,1,FLL,LGA,NK,1.0,116.0
2025,1,FLL,LGA,NK,1.0,116.0
2025,1,FLL,LGA,NK,1.0,117.0
2025,1,FLL,LGA,NK,1.0,117.0
2025,1,FLL,LGA,NK,1.0,117.13
2025,1,FLL,LGA,NK,1.0,117.44
2025,1,FLL,LGA,NK,1.0,117.5
2025,1,FLL,LGA,NK,1.0,117.61
2025,1,FLL,LGA,NK,1.0,118.0
2025,1,FLL,LGA,NK,1.0,118.0
2025,1,FLL,LGA,NK,1.0,119.61
2025,1,FLL,LGA,NK,1.0,120.5
2025,1,FLL,LGA,NK,1.0,120.8
2025,1,FLL,LGA,NK,1.0,121.0
2025,1,FLL,LGA,NK,1.0,121.5
2025,1,FLL,LGA,NK,1.0,121.5
2025,1,FLL,LGA,NK,1.0,122.63
2025,1,FLL,LGA,NK,1.0,122.86
2025,1,FLL,LGA,NK,1.0,123.0
2025,1,FLL,LGA,NK,1.0,123.0
2025,1,FLL,LGA,NK,1.0,123.0
2025,1,FLL,LGA,NK,1.0,124.0
2025,1,FLL,LGA,NK,1.0,124.0
2025,1,FLL,LGA,NK,1.0,124.64
2025,1,FLL,LGA,NK,1.0,124.98
2025,1,FLL,LGA,NK,1.0,125.0
2025,1,FLL,LGA,NK,1.0,126.37
2025,1,FLL,LGA,NK,1.0,126.5
2025,1,FLL,LGA,NK,1.0,126.9
2025,1,FLL,LGA,NK,1.0,126.99
2025,1,FLL,LGA,NK,1.0,128.0
2025,1,FLL,LGA,NK,1.0,128.0
2025,1,FLL,LGA,NK,1.0,128.8
2025,1,FLL,LGA,NK,1.0,129.5
2025,1,FLL,LGA,NK,1.0,130.0
2025,1,FLL,LGA,NK,1.0,130.0
2025,1,FLL,LGA,NK,1.0,130.29
2025,1,FLL,LGA,NK,1.0,131.0
2025,1,FLL,LGA,NK,1.0,131.5
2025,1,FLL,LGA,NK,1.0,132.0
2025,1,FLL,LGA,NK,1.0,132.36
2025,1,FLL,LGA,NK,1.0,132.5
2025,1,FLL,LGA,NK,1.0,132.68
2025,1,FLL,LGA,NK,1.0,133.0
2025,1,FLL,LGA,NK,1.0,133.0
2025,1,FLL,LGA,NK,1.0,134.0
2025,1,FLL,LGA,NK,1.0,134.5
2025,1,FLL,LGA,NK,1.0,134.81
2025,1,FLL,LGA,NK,1.0,136.0
2025,1,FLL,LGA,NK,1.0,136.0
2025,1,FLL,LGA,NK,1.0,136.63
2025,1,FLL,LGA,NK,1.0,137.13
2025,1,FLL,LGA,NK,1.0,137.34
2025,1,FLL,LGA,NK,1.0,137.7
2025,1,FLL,LGA,NK,1.0,138.0
2025,1,FLL,LGA,NK,1.0,138.5
2025,1,FLL,LGA,NK,1.0,139.71
2025,1,FLL,LGA,NK,1.0,141.0
2025,1,FLL,LGA,NK,1.0,141.5
2025,1,FLL,LGA,NK,1.0,141.88
2025,1,FLL,LGA,NK,1.0,142.23
2025,1,FLL,LGA,NK,1.0,142.5
2025,1,FLL,LGA,NK,1.0,143.0
2025,1,FLL,LGA,NK,1.0,143.08
2025,1,FLL,LGA,NK,1.0,144.0
2025,1,FLL,LGA,NK,1.0,144.74
2025,1,FLL,LGA,NK,1.0,146.0
2025,1,FLL,LGA,NK,1.0,146.31
2025,1,FLL,LGA,NK,1.0,146.5
2025,1,FLL,LGA,NK,1.0,146.74
2025,1,FLL,LGA,NK,1.0,147.0
2025,1,FLL,LGA,NK,1.0,147.0
2025,1,FLL,LGA,NK,1.0,147.26
2025,1,FLL,LGA,NK,1.0,147.78
2025,1,FLL,LGA,NK,1.0,148.0
2025,1,FLL,LGA,NK,1.0,148.0
2025,1,FLL,LGA,NK,1.0,148.0
2025,1,FLL,LGA,NK,1.0,149.5
2025,1,FLL,LGA,NK,1.0,150.0
2025,1,FLL,LGA,NK,1.0,150.5
2025,1,FLL,LGA,NK,1.0,151.0
2025,1,FLL,LGA,NK,1.0,151.0
2025,1,FLL,LGA,NK,1.0,151.44
2025,1,FLL,LGA,NK,1.0,151.5
2025,1,FLL,LGA,NK,1.0,152.0
2025,1,FLL,LGA,NK,1.0,152.5
2025,1,FLL,LGA,NK,1.0,153.0
2025,1,FLL,LGA,NK,1.0,153.0
2025,1,FLL,LGA,NK,1.0,153.5
2025,1,FLL,LGA,NK,1.0,153.57
2025,1,FLL,LGA,NK,1.0,154.5
2025,1,FLL,LGA,NK,1.0,155.29
2025,1,FLL,LGA,NK,1.0,156.0
2025,1,FLL,LGA,NK,1.0,156.0
2025,1,FLL,LGA,NK,1.0,157.71
2025,1,FLL,LGA,NK,1.0,157.81
2025,1,FLL,LGA,NK,1.0,158.0
2025,1,FLL,LGA,NK,1.0,160.32
2025,1,FLL,LGA,NK,1.0,161.0
2025,1,FLL,LGA,NK,1.0,162.0
2025,1,FLL,LGA,NK,1.0,163.0
2025,1,FLL,LGA,NK,1.0,164.0
2025,1,FLL,LGA,NK,1.0,164.5
2025,1,FLL,LGA,NK,1.0,164.5
2025,1,FLL,LGA,NK,1.0,166.0
2025,1,FLL,LGA,NK,1.0,166.5
2025,1,FLL,LGA,NK,1.0,166.5
2025,1,FLL,LGA,NK,1.0,167.0
2025,1,FLL,LGA,NK,1.0,167.0
2025,1,FLL,LGA,NK,1.0,167.5
2025,1,FLL,LGA,NK,1.0,168.0
2025,1,FLL,LGA,NK,1.0,168.15
2025,1,FLL,LGA,NK,1.0,170.0
2025,1,FLL,LGA,NK,1.0,170.37
2025,1,FLL,LGA,NK,1.0,171.0
2025,1,FLL,LGA,NK,1.0,171.5
2025,1,FLL,LGA,NK,1.0,172.5
2025,1,FLL,LGA,NK,1.0,172.5
2025,1,FLL,LGA,NK,1.0,173.5
2025,1,FLL,LGA,NK,1.0,173.5
2025,1,FLL,LGA,NK,1.0,174.0
2025,1,FLL,LGA,NK,1.0,174.0
2025,1,FLL,LGA,NK,1.0,174.0
2025,1,FLL,LGA,NK,1.0,174.89
2025,1,FLL,LGA,NK,1.0,175.0
2025,1,FLL,LGA,NK,1.0,176.0
2025,1,FLL,LGA,NK,1.0,176.5
2025,1,FLL,LGA,NK,1.0,177.0
2025,1,FLL,LGA,NK,1.0,178.5
2025,1,FLL,LGA,NK,1.0,179.0
2025,1,FLL,LGA,NK,1.0,180.0
2025,1,FLL,LGA,NK,1.0,180.5
2025,1,FLL,LGA,NK,1.0,181.0
2025,1,FLL,LGA,NK,1.0,181.5
2025,1,FLL,LGA,NK,1.0,182.0
2025,1,FLL,LGA,NK,1.0,182.0
2025,1,FLL,LGA,NK,1.0,182.43
2025,1,FLL,LGA,NK,1.0,182.5
2025,1,FLL,LGA,NK,1.0,183.5
2025,1,FLL,LGA,NK,1.0,183.94
2025,1,FLL,LGA,NK,1.0,184.5
2025,1,FLL,LGA,NK,1.0,184.95
2025,1,FLL,LGA,NK,1.0,185.0
2025,1,FLL,LGA,NK,1.0,185.45
2025,1,FLL,LGA,NK,1.0,186.5
2025,1,FLL,LGA,NK,1.0,187.0
2025,1,FLL,LGA,NK,1.0,187.0
2025,1,FLL,LGA,NK,1.0,188.0
2025,1,FLL,LGA,NK,1.0,188.0
2025,1,FLL,LGA,NK,1.0,189.0
2025,1,FLL,LGA,NK,1.0,190.0
2025,1,FLL,LGA,NK,1.0,191.0
2025,1,FLL,LGA,NK,1.0,191.0
2025,1,FLL,LGA,NK,1.0,192.0
2025,1,FLL,LGA,NK,1.0,193.0
2025,1,FLL,LGA,NK,1.0,193.0
2025,1,FLL,LGA,NK,1.0,193.0
2025,1,FLL,LGA,NK,1.0,194.0
2025,1,FLL,LGA,NK,1.0,194.52
2025,1,FLL,LGA,NK,1.0,195.0
2025,1,FLL,LGA,NK,1.0,197.0
2025,1,FLL,LGA,NK,1.0,197.0
2025,1,FLL,LGA,NK,1.0,197.47
2025,1,FLL,LGA,NK,1.0,198.0
2025,1,FLL,LGA,NK,1.0,198.01
2025,1,FLL,LGA,NK,1.0,199.5
2025,1,FLL,LGA,NK,1.0,200.5
2025,1,FLL,LGA,NK,1.0,201.05
2025,1,FLL,LGA,NK,1.0,201.5
2025,1,FLL,LGA,NK,1.0,204.0
2025,1,FLL,LGA,NK,1.0,204.5
2025,1,FLL,LGA,NK,1.0,205.5
2025,1,FLL,LGA,NK,1.0,206.0
2025,1,FLL,LGA,NK,1.0,207.0
2025,1,FLL,LGA,NK,1.0,207.0
