YEAR,QUARTER,ORIGIN,DEST,OPERATING_CARRIER,PASSENGERS,MARKET_FARE
2025,2,FLL,LGA,NK,1.0,92.57
2025,2,FLL,LGA,NK,1.0,93.0
2025,2,FLL,LGA,NK,1.0,93.0
2025,2,FLL,LGA,NK,1.0,94.48
2025,2,FLL,LGA,NK,1.0,95.0
2025,2,FLL,LGA,NK,1.0,95.19
2025,2,FLL,LGA,NK,1.0,95.5
2025,2,FLL,LGA,NK,1.0,95.54
2025,2,FLL,LGA,NK,1.0,97.0
2025,2,FLL,LGA,NK,1.0,97.5
2025,2,FLL,LGA,NK,1.0,97.5
2025,2,FLL,LGA,NK,1.0,97.69
2025,2,FLL,LGA,NK,1.0,98.0
2025,2,FLL,LGA,NK,1.0,98.5
2025,2,FLL,LGA,NK,1.0,99.45
2025,2,FLL,LGA,NK,1.0,99.51
2025,2,FLL,LGA,NK,1.0,100.0
2025,2,FLL,LGA,NK,1.0,101.0
2025,2,FLL,LGA,NK,1.0,101.0
2025,2,FLL,LGA,NK,1.0,101.0
2025,2,FLL,LGA,NK,1.0,101.52
2025,2,FLL,LGA,NK,1.0,102.0
2025,2,FLL,LGA,NK,1.0,102.0
2025,2,FLL,LGA,NK,1.0,102.0
2025,2,FLL,LGA,NK,1.0,102.02
2025,2,FLL,LGA,NK,1.0,103.53
2025,2,FLL,LGA,NK,1.0,105.0
2025,2,FLL,LGA,NK,1.0,105.0
2025,2,FLL,LGA,NK,1.0,105.0
2025,2,FLL,LGA,NK,1.0,105.11
2025,2,FLL,LGA,NK,1.0,105.22
2025,2,FLL,LGA,NK,1.0,106.0
2025,2,FLL,LGA,NK,1.0,106.5
2025,2,FLL,LGA,NK,1.0,107.0
2025,2,FLL,LGA,NK,1.0,107.5
2025,2,FLL,LGA,NK,1.0,107.57
2025,2,FLL,LGA,NK,1.0,108.5
2025,2,FLL,LGA,NK,1.0,108.5
2025,2,FLL,LGA,NK,1.0,110.0
2025,2,FLL,LGA,NK,1.0,110.0
2025,2,FLL,LGA,NK,1.0,110.0
2025,2,FLL,LGA,NK,1.0,112.0
2025,2,FLL,LGA,NK,1.0,112.5
2025,2,FLL,LGA,NK,1.0,113.5
2025,2,FLL,LGA,NK,1.0,113.73
2025,2,FLL,LGA,NK,1.0,116.0
2025,2,FLL,LGA,NK,1.0,116.0
2025,2,FLL,LGA,NK,1.0,116.5
2025,2,FLL,LGA,NK,1.0,117.0
2025,2,FLL,LGA,NK,1.0,117.0
2025,2,FLL,LGA,NK,1.0,117.24
2025,2,FLL,LGA,NK,1.0,117.5
2025,2,FLL,LGA,NK,1.0,117.5
2025,2,FLL,LGA,NK,1.0,117.54
2025,2,FLL,LGA,NK,1.0,118.0
2025,2,FLL,LGA,NK,1.0,118.0
2025,2,FLL,LGA,NK,1.0,119.5
2025,2,FLL,LGA,NK,1.0,120.0
2025,2,FLL,LGA,NK,1.0,120.5
2025,2,FLL,LGA,NK,1.0,121.0
2025,2,FLL,LGA,NK,1.0,121.0
2025,2,FLL,LGA,NK,1.0,121.62
2025,2,FLL,LGA,NK,1.0,122.5
2025,2,FLL,LGA,NK,1.0,122.5
2025,2,FLL,LGA,NK,1.0,123.0
2025,2,FLL,LGA,NK,1.0,123.0
2025,2,FLL,LGA,NK,1.0,124.5
2025,2,FLL,LGA,NK,1.0,124.52
2025,2,FLL,LGA,NK,1.0,125.5
2025,2,FLL,LGA,NK,1.0,125.83
2025,2,FLL,LGA,NK,1.0,126.0
2025,2,FLL,LGA,NK,1.0,127.0
2025,2,FLL,LGA,NK,1.0,127.5
2025,2,FLL,LGA,NK,1.0,127.51
2025,2,FLL,LGA,NK,1.0,128.18
2025,2,FLL,LGA,NK,1.0,128.5
2025,2,FLL,LGA,NK,1.0,130.0
2025,2,FLL,LGA,NK,1.0,130.5
2025,2,FLL,LGA,NK,1.0,131.17
2025,2,FLL,LGA,NK,1.0,132.0
2025,2,FLL,LGA,NK,1.0,132.06
2025,2,FLL,LGA,NK,1.0,132.18
2025,2,FLL,LGA,NK,1.0,132.5
